,classifier,dataset,time_default,accuracy_default,time_tuned,accuracy_tuned,accuracy_best,params_best
0,MultinomialNB,dataset-hsv-10-.json,157.4926939999841,0.9375,163.02403500003493,0.9375,0.9375,"{'alpha': 0.0001, 'fit_prior': False}"
1,BernoulliNB,dataset-hsv-10-.json,178.72058700004345,0.40625,183.58498900011,0.85,0.85,"{'alpha': 0.0001, 'binarize': 0.5, 'fit_prior': False}"
2,SGDClassifier,dataset-hsv-10-.json,701.5166560004218,0.88125,1157.135840000592,0.91875,0.94375,"{'eta0': 1.0, 'fit_intercept': True, 'learning_rate': 'invscaling', 'loss': 'log', 'max_iter': 1000, 'penalty': 'l2'}"
3,Perceptron,dataset-hsv-10-.json,675.7543149997218,0.8625,741.1263130006773,0.9,0.9,"{'alpha': 0.0001, 'eta0': 0.5, 'fit_intercept': False, 'max_iter': 1000, 'penalty': 'l2'}"
4,PassiveAggressiveClassifier,dataset-hsv-10-.json,817.8089970006113,0.88125,831.1948660002599,0.8625,0.91875,"{'C': 0.29730177875068026, 'fit_intercept': True, 'loss': 'squared_hinge', 'max_iter': 1000}"
0,MultinomialNB,dataset-hsv-10-.json,158.15535900037503,0.9375,183.48213599892915,0.94375,0.94375,"{'alpha': 0.09120108393559097, 'fit_prior': False}"
1,BernoulliNB,dataset-hsv-10-.json,184.03007699998852,0.40625,189.76984799883212,0.9,0.9,"{'alpha': 0.025118864315095822, 'binarize': 0.35000000000000003, 'fit_prior': False}"
2,SGDClassifier,dataset-hsv-10-.json,710.7878959996015,0.9,945.6879369990929,0.89375,0.925,"{'fit_intercept': True, 'loss': 'log', 'max_iter': 4000, 'penalty': 'l2'}"
3,Perceptron,dataset-hsv-10-.json,680.6243030005135,0.8625,745.6403039996076,0.9,0.9,"{'alpha': 0.0001, 'eta0': 0.5, 'fit_intercept': False, 'max_iter': 4000, 'penalty': 'l2'}"
4,PassiveAggressiveClassifier,dataset-hsv-10-.json,821.2182329989446,0.86875,832.8085140001349,0.89375,0.9125,"{'C': 0.7071067811865475, 'fit_intercept': True, 'loss': 'squared_hinge', 'max_iter': 4000}"
0,MultinomialNB,dataset-hsv-20-.json,160.32653100046446,0.9125,164.17603199988662,0.94375,0.94375,"{'alpha': 0.0001, 'fit_prior': False}"
1,BernoulliNB,dataset-hsv-20-.json,190.69773599949258,0.45,197.431485999914,0.8875,0.8875,"{'alpha': 0.0001, 'binarize': 0.25, 'fit_prior': False}"
2,SGDClassifier,dataset-hsv-20-.json,729.1608670002461,0.9125,1059.1947020002408,0.93125,0.9375,"{'fit_intercept': True, 'loss': 'perceptron', 'max_iter': 4000, 'penalty': 'l1'}"
3,Perceptron,dataset-hsv-20-.json,738.6932619992876,0.91875,750.7234439999593,0.93125,0.93125,"{'alpha': 0.0001, 'eta0': 1.9999999999999998, 'fit_intercept': True, 'max_iter': 4000, 'penalty': 'l2'}"
4,PassiveAggressiveClassifier,dataset-hsv-20-.json,1064.8114069990697,0.91875,1067.3815610007296,0.925,0.94375,"{'C': 0.29730177875068026, 'fit_intercept': True, 'loss': 'hinge', 'max_iter': 4000}"
0,MultinomialNB,dataset-ycbcr-15-.json,158.98594899954333,0.9125,165.2309700002661,0.93125,0.93125,"{'alpha': 0.002511886431509582, 'fit_prior': False}"
1,BernoulliNB,dataset-ycbcr-15-.json,186.37728199973935,0.78125,190.5052189995331,0.89375,0.89375,"{'alpha': 0.0001, 'binarize': 0.5, 'fit_prior': False}"
2,SGDClassifier,dataset-ycbcr-15-.json,747.0045690006373,0.86875,749.4631839999784,0.85,0.8875,"{'fit_intercept': True, 'loss': 'hinge', 'max_iter': 4000, 'penalty': 'l2'}"
3,Perceptron,dataset-ycbcr-15-.json,730.6198360001872,0.84375,741.5455629998178,0.875,0.875,"{'alpha': 0.0001, 'eta0': 1.9999999999999998, 'fit_intercept': True, 'max_iter': 4000, 'penalty': 'l2'}"
4,PassiveAggressiveClassifier,dataset-ycbcr-15-.json,995.6269310005155,0.88125,1003.8964949999354,0.8875,0.9,"{'C': 0.29730177875068026, 'fit_intercept': True, 'loss': 'hinge', 'max_iter': 4000}"
